7356 20
also	-0.729	-1.127	1.691	1.122	-3.270	-0.099	0.082	-0.898	-0.464	-0.458	0.160	-0.224	0.855	1.219	1.352	-1.294	-0.056	0.444	0.690	0.261
,	0.606	3.610	1.466	-6.369	-5.791	2.653	-8.433	-3.900	2.144	-0.276	2.056	7.846	-5.348	-0.821	-3.771	0.408	6.133	-1.010	-0.616	1.543
.	-0.025	3.106	1.440	-7.721	-5.720	1.991	-8.860	-2.945	2.907	-0.631	2.748	7.993	-5.087	0.050	-3.800	0.746	6.802	-0.103	-1.240	1.198
were	-4.133	-2.447	3.229	-4.683	-1.678	-0.297	1.246	6.448	0.100	-1.440	0.040	0.239	-1.288	0.605	0.934	-1.353	-3.915	3.571	-1.420	1.824
has	-2.733	-1.377	1.154	0.550	-4.111	0.956	-3.346	3.046	0.292	-1.295	1.017	-0.116	2.259	1.781	-0.428	-3.521	-0.198	0.761	-2.068	2.058
but	0.484	-1.477	3.149	-3.544	-3.292	1.244	-3.835	3.999	2.001	1.384	2.585	0.020	-0.962	0.077	-0.727	-1.202	-0.233	1.707	-2.713	2.313
other	-1.436	-3.431	4.027	-1.143	-5.187	-2.211	-2.270	-0.559	-0.930	-0.384	-1.887	0.059	1.993	1.670	2.532	-0.045	-1.059	1.100	0.102	1.714
their	-2.710	-1.407	4.703	-3.166	-4.425	-2.673	-3.337	5.101	1.927	1.161	-0.210	0.089	0.279	3.446	1.286	1.997	-1.928	2.600	-0.664	1.348
all	-1.105	-2.319	2.194	-1.445	-3.844	-0.227	-3.906	1.214	2.108	0.863	-0.617	2.555	0.557	0.628	1.884	0.626	2.175	2.053	-1.611	1.488
they	-0.125	0.656	5.615	-5.758	-3.727	0.511	-4.927	4.554	1.822	0.931	2.598	0.841	-1.625	-0.011	3.118	1.353	-0.568	2.001	-1.078	2.753
some	-1.163	-3.090	4.385	-2.220	-4.933	-1.748	-4.143	0.556	0.548	-2.186	0.359	0.185	0.877	1.864	1.174	-1.015	-1.233	1.598	-1.507	2.879
its	-1.624	-2.496	0.727	1.465	-3.385	0.009	-2.386	6.116	-1.728	-0.042	-0.544	-1.669	1.916	1.695	-0.617	-2.807	1.695	0.202	-0.024	0.263
had	-2.948	0.472	1.315	-3.637	-0.005	0.467	-0.333	6.903	2.491	1.033	2.577	2.194	-2.840	0.433	-3.394	-1.182	-4.298	2.826	-3.012	2.696
first	-1.370	-0.912	-3.228	1.142	-1.088	0.913	3.320	3.510	0.716	1.264	1.375	2.902	-0.269	0.226	-0.426	-1.611	0.161	2.287	-3.625	1.543
you	3.363	2.298	1.814	-6.263	-0.765	2.579	-8.709	-4.406	4.659	1.283	6.049	7.455	-3.747	1.434	0.618	2.709	6.088	0.273	-0.304	-0.737
can	2.706	-1.528	4.347	-5.776	-4.586	-2.311	-5.725	-1.114	0.306	1.082	1.583	-1.394	1.487	-0.542	3.057	-0.105	5.622	-2.770	-2.746	2.996
more	-0.709	-1.640	4.743	-4.156	-4.244	0.711	-3.319	1.425	-0.064	-1.182	0.168	-2.262	2.777	2.702	-1.034	-1.138	0.963	2.232	-3.910	1.698
been	-3.230	-0.189	2.937	-1.840	-2.523	1.174	-2.351	4.155	1.312	-3.906	3.125	0.521	-0.738	-0.152	-0.017	-4.576	-2.061	1.757	-2.528	3.447
most	-2.532	-2.180	3.525	-0.929	-5.026	1.463	-1.172	1.347	-1.076	-3.026	-1.082	-1.001	2.396	2.460	-0.083	-1.899	-2.093	2.851	-1.990	2.339
who	-0.402	2.597	4.565	-0.639	0.720	0.718	-1.237	1.352	5.500	2.588	2.055	2.064	-4.503	1.993	0.597	2.645	-6.039	2.509	0.157	1.617
there	-1.102	-2.921	2.779	-1.866	-3.689	0.322	-4.709	0.545	1.081	-1.523	-0.771	2.631	1.919	-1.178	0.708	-0.668	1.186	0.791	-1.886	2.791
such	-0.088	-2.843	3.398	-0.536	-4.652	-4.014	-1.614	-1.466	-1.627	-0.129	-0.667	-1.539	1.966	2.491	1.006	-1.048	-1.887	-1.219	-0.364	2.301
many	-2.789	-2.425	4.896	-1.914	-5.678	-1.357	-2.816	1.029	-0.458	-3.545	-0.569	0.469	1.445	4.194	0.696	-0.485	-2.565	3.306	-0.990	2.769
new	-4.974	0.246	-3.471	2.897	-0.492	-1.157	-0.082	4.162	-2.394	0.412	0.512	3.728	0.036	3.767	-1.365	-0.812	0.573	3.451	0.488	2.172
used	1.239	-6.001	2.366	-3.126	-7.055	-2.744	1.754	-2.944	-3.591	1.178	-0.163	-1.349	0.897	-0.537	2.209	-4.729	-0.639	-1.206	-1.153	1.209
time	-1.334	0.411	-0.604	-2.099	-1.828	1.075	-0.954	4.117	2.061	-1.007	1.386	1.654	-0.236	0.682	-1.435	-0.097	3.616	2.753	-4.568	0.552
when	0.035	0.286	-0.803	-4.330	-1.127	0.601	-1.488	5.381	2.527	1.938	3.430	0.711	-1.986	-1.045	-0.096	0.857	0.317	-0.286	-2.399	1.160
